x, y
127.61525940582356, 86.6086967540374
108.75717186504832, 87.82608614887312
85.56408587018448, 88.52174102264013
67.31705748918212, 89.39130629772062
51.91318192613168, 89.9130441359176
39.24187514424977, 90.08695785435935
30.262370133782223, 90.43478197411459
22.875734183443882, 90.08695785435935
15.963377835621271, 90.08695785435935
12.066932841783734, 89.73913041747585
8.941051083040097, 89.9130441359176
6.23934485318514, 89.9130441359176
4.811622143694041, 89.39130629772062
3.7855163316381626, 89.21739257927887
2.919292751918854, 89.21739257927887
2.163063801173591, 88.86956514239536
1.602732375803056, 88.52174102264013
1.0746076234820527, 87.82608614887312
0.8454414306255336, 87.47826202911789
0.6519826687761164, 86.6086967540374
0.5129436532815922, 85.56521776051515
0.39556894171943047, 84.86956620387642
0.29901590397569366, 83.65217349191241
0.22603050377938347, 81.91304294175143
0.16416389547326307, 79.9999986731487
0.12659916349954037, 78.08695772167422
0.10161196912084522, 75.65217229774623
0.09012826481345672, 73.73913134627178
0.07680985941249732, 72.00000079611078
0.06812927616787663, 70.2608702459498
0.059233786415016, 67.4782573851383
0.05149983972957252, 64.69565115858335
0.04477561891942414, 62.434782770225375
0.03971535074119295, 59.99999734629738
0.03452985739666808, 57.043474084172395
0.03062750288320713, 54.26086785761744
0.02662853719066189, 51.65217203237597
0.023151742958717934, 49.217386608447974
0.020949850053166307, 45.91304254369604
0.0185822253922202, 43.30434671845456
0.017154393678113156, 40.521733857643056
0.01583627451784605, 37.565217229774625
0.01461943775515386, 35.304342207160104
0.01349610099496356, 31.999998142408174
