x, y
0.08620692990397491, 52.635815309400726
0.27890464804970705, 52.635815309400726
0.3955374621818827, 52.635815309400726
0.5578092960994141, 52.635815309400726
0.6997970782361088, 52.47484583288848
0.8417848603728034, 52.31388249673391
1.009127803957071, 52.31388249673391
1.191683496212385, 52.15291916057933
1.3793101046913812, 51.830986347912514
1.5669371000564851, 51.50905353524569
1.8002027283208373, 50.86518790991205
2.0131843048043514, 50.382291761090656
2.1703854159412552, 49.57746279960244
2.418863792876653, 48.45070102544741
2.6166326206891215, 47.1629759151378
2.9006081849625107, 44.748489030673156
3.138945116336653, 41.85110599738712
3.3823525770483682, 37.66599785379148
3.585192321084519, 33.15895075717134
3.7068962448834304, 29.617708238909344
3.79310336823046, 27.04225187793245
3.9148069051432635, 22.85714373433681
4.031439912718494, 17.86720048889528
4.127788481626779, 13.36015953263282
4.203853385640336, 8.531191904061217
4.2951314252110455, 3.058352509798283
