iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,14.2037,2.8086,1.0164038920187006,0.9163650064938106,-0.03917618712135858,-0.08919507099193098,4,0.9982809584974071
2,21.466,3.8226,1.0252278290864683,0.9695007311240749,-0.0600313122828508,-0.08868698083620367,3,0.9528844845339252
3,15.1901,2.6356,1.0685142515940473,0.9487991184975668,-0.022194661954962017,-0.03966872037393421,1,0.9384307303977706
4,9.2068,1.6284,1.0989344453495833,0.9299456275348417,-0.0057470431633335345,-0.019989969965797216,4,0.9800094159861806
5,19.7676,3.5701,1.0803789659952396,0.9157404659332183,-0.08008763367714013,-0.027687721586162103,9,0.9876112788951766
6,22.3807,3.9445,1.0279261084536124,0.9632015477764202,-0.08788162243625167,-0.04707052752666788,8,0.9605199546542471
7,15.8653,2.9639,1.0578867295063705,0.9060722785635944,-0.023277061753488662,-0.06945418867789133,8,0.9474141472763855
8,12.1264,2.005,1.0433566694492216,0.9935970094988075,-0.0066813958234477056,-0.04972060710798222,5,0.9454111591789256
9,20.8532,3.7571,1.0034106457314258,0.9616288264600658,-0.0762206710592955,-0.06384800068237091,8,0.9568114189247093
10,21.4294,3.6928,1.0139384029343421,0.9852755702143454,-0.061085093339311836,-0.04516932794082369,9,0.9114403011962557
