iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,33.2112,6.2426,1.0021294996523036,0.8289226609846003,-0.04643921314297225,-0.1701520880519878,14,0.8153481745871838
2,56.9245,9.652,1.1659594161977678,0.9605861119953281,-0.1499905513817483,-0.16506194233027993,13,0.8173395581516391
3,12.2446,2.0304,1.0949081096076017,0.9922819662827522,-0.009009256485950023,-0.06888620821730754,19,0.9942977867558331
4,22.9797,4.0195,1.0518569827920463,0.9626302447351731,-0.1072572329802644,-0.031393133907301335,5,0.9904804825136827
5,36.6742,6.3374,1.060642846368862,0.9537000027505298,-0.15613037552292844,-0.06759835779782611,9,0.9521267923325103
6,51.1102,8.6593,1.1245270463332158,0.9755257901435437,-0.18630413225001813,-0.12459222386492184,6,0.9095547190714578
7,41.1374,7.1424,1.0736175951803297,0.9164834288287138,-0.16806683579276782,-0.06992920573305314,0,0.9268611143424922
8,58.1853,9.8804,1.1217985031308544,0.975016244385725,-0.1979414032198672,-0.18575315229612216,9,0.8891383178456927
9,32.8587,5.579,1.1855816705160065,0.969677694810403,-0.10323039254048282,-0.10386138078253662,8,0.998898554535789
10,22.6515,4.2302,1.1311275201481874,0.8652422337684338,-0.059346773722988716,-0.09570428828514672,15,0.9961051649422668
