iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,27.4733,4.55,1.0640864292026921,0.9849665101206091,-0.09462277573040762,-0.04533422046637761,0,0.940627025768753
2,25.1434,4.4532,1.038379761215832,0.9392734708639027,-0.03961446417810374,-0.14845434597922158,0,0.9269086364186433
3,27.875,4.9069,1.1215775340006513,0.8841627852320217,-0.04243910519583348,-0.12160582900268092,0,0.9179638837239379
4,9.1433,1.4778,1.0092543115232349,0.9903804960371644,-0.018662244293345315,-0.013580640558064822,0,0.955484400908339
5,43.9449,7.4566,1.134492576343778,0.8759235844639616,-0.13407901964474178,-0.07337559490071076,0,0.8713140588517877
6,32.0384,5.3952,1.079321460398928,0.986260807820339,-0.06304731915421856,-0.14117334834064316,0,0.9092610329102957
7,17.3901,3.1205,1.002236208306385,0.9764310127823472,-0.04409149722779235,-0.11142578517909439,0,0.9863312183882772
8,23.2055,4.0145,1.0250009670962958,0.9340030776908848,-0.10936802603351634,-0.007848657037385465,0,0.9604886445690783
9,23.9023,3.9385,1.0474111719895964,0.9829702655287886,-0.10149727884674672,-0.003966260489665113,0,0.9522588658226837
10,36.9911,6.3874,1.1108483173364514,0.891408171621696,-0.11547100506900296,-0.11949268421560523,0,0.949332304234581
