iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,10.2805,1.7456,1.008546163280057,0.9934971425117768,-0.030802134029807818,-0.044984168438545906,0,0.9929949716098999
2,7.9778,1.4316,1.019840370277182,0.9561489048850236,-0.03168236968043911,-0.010828472766881689,0,0.9984926296299207
3,12.7519,2.0698,1.0400216772105606,0.9932934204262793,-0.0420154803302191,-0.020583620316966575,0,0.9837036037651765
4,8.7029,1.4645,1.001856023760547,0.9933874602015941,-0.020354874605588,-0.025204074809938054,0,0.97199449393525
5,13.484,2.196,1.0295239871401844,0.9939622137457377,-0.029388119438853052,-0.0381864793543808,0,0.9589758044160615
6,13.5545,2.1916,1.0409541214926699,0.9834503956535084,-0.04037168499400646,-0.008759425718649537,0,0.9606237938494901
7,9.3239,1.5744,1.00662427619008,0.988335734776311,-0.03376331485209076,-0.024103414629591716,0,0.9909683739030565
8,8.2492,1.3949,1.0000764784708238,0.9925151717604118,-0.025589061585558945,-0.00824566766989987,0,0.9697195202604126
9,8.2314,1.4968,1.036610359575357,0.9528929335812046,-0.01099740420114928,-0.04383644760330821,0,0.9914915805099055
10,10.213,1.6864,1.032265268864156,0.9706669059634427,-0.025096257247325685,-0.009292297966864135,0,0.9644353616603669
