iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,31.7173,5.7731,1.0407045711665297,0.9370724924568347,-0.07885042743928986,-0.1954580870753918,3,0.968369043640477
2,29.1063,5.3724,1.0072120542679555,0.8524455418736799,-0.05569442911689007,-0.07291849890342686,2,0.8108142176681207
3,18.8705,3.8188,1.0158284966959963,0.8497295500544735,-0.06681018590401722,-0.09550323279715066,10,0.9975772039001386
4,34.222,6.1034,1.1699436461101402,0.8110082716242777,-0.11013372638762692,-0.026138957654389866,19,0.9148266961451889
5,29.7729,5.6048,1.0044516668267276,0.8505330176409598,-0.1232638871232016,-0.11363213582551071,1,0.9846656360958195
6,44.7892,7.5646,1.1329018826843222,0.9723717079835504,-0.09643749559817645,-0.0980781499254265,1,0.8007780448825199
7,34.3219,5.7741,1.152705841977822,0.948132883687593,-0.15927140642026494,-0.00263680592187418,18,0.9785220415901531
8,37.6455,6.5241,1.1041160801997945,0.8941840476367292,-0.1733533818476275,-0.013866115914485971,17,0.9468507780919997
9,15.1081,2.9222,1.0374651809490456,0.8810075498842311,-0.038012067288726026,-0.037609113150702034,4,0.9448136192282817
10,40.7631,7.1269,1.1152409617931691,0.8448517197617247,-0.13898283703272063,-0.011829250773727346,8,0.8515308785626594
