iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,7.6548,1.2951,1.0498737917205094,0.9840100217102258,-0.008582561247447308,-0.03323445373496174,1,0.9930949569658671
2,6.52,1.1859,1.018733575956319,0.9761908143182478,-0.0005125139436622031,-0.04805369029531599,4,0.9853650134621235
3,9.6993,1.6406,1.0334300428172372,0.9821430625486417,-0.004862481256063936,-0.041844804827780524,1,0.9584076184420409
4,6.8698,1.3473,1.0044904005402178,0.9539867653235791,-0.0018063009770607208,-0.04938462342923415,3,0.9735870299973923
5,10.1716,1.7321,1.0203846914092183,0.997076233642093,-0.023570004154994686,-0.03928212181650756,0,0.9790413072120345
6,7.0671,1.2017,1.0232510641281247,0.9911657171495961,-0.003810812589090058,-0.03719135615584975,0,0.9794435959373516
7,6.2647,1.1387,1.001710158873174,0.992885322533347,-0.010645831072703463,-0.040040518837745204,1,0.9937366287895282
8,14.1543,2.5565,1.0071508189881198,0.9674400912431311,-0.048994903149544355,-0.04334994755182961,0,0.9714794780350313
9,12.0885,2.1797,1.0429538013108142,0.9567410876710742,-0.03625006788407805,-0.03615502311321583,3,0.9862466974682618
10,7.6793,1.2673,1.0390469614281732,0.9955761161306322,-0.00751681735277078,-0.0323542368232703,0,0.9853227429133989
