iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,1.8445,0.561,1.0162232224459202,1.0304911401040107,-0.011460955142140052,0.013518900287407515,0,1.0295570305209094
2,2.5619,0.5127,1.0383498241114872,0.9585643962245661,0.000780388532988098,0.041639509877600664,0,0.978626621932676
3,6.3707,1.3768,0.95062989302232,0.9602136847203507,-0.02346897010184388,-0.04852495279902689,0,0.991400886472391
4,13.9662,2.3511,1.0455787323386214,0.9556777966882483,-0.03987082229031507,-0.007949326593838138,0,0.9546752611706905
6,4.9595,0.8565,1.0091982449389296,0.9719546746982913,-0.026017445735595113,0.04621136612588479,0,0.9764382699118088
8,2.5896,0.568,1.0138411620477608,0.9826039937394639,0.0012121094852847875,-0.015816576688731286,0,1.0096900666158963
10,7.0649,1.1151,1.0161264391960874,1.0008166675239913,-0.033654729413556794,0.036691890785265927,0,0.9818751056771218
