iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,33.731,5.6941,1.0913498772906967,0.9530387269484677,-0.12558528324956914,-0.08756843164761346,0,0.9748895085077063
2,39.2747,6.9375,1.0931234926523299,0.8651668911520745,-0.08678505008370432,-0.1921627509747718,0,0.9114493100012417
3,18.7025,3.4541,1.1749475800000824,0.8045174507621405,-0.018593534745795726,-0.04169053908972026,0,0.9432934732935193
4,22.904,3.999,1.1783526480377482,0.8806836577350836,-0.05207317866546898,-0.0692221674304386,0,0.9871541343948258
5,40.889,6.7942,1.147408065544333,0.9117386650231843,-0.1404635727278723,-0.016386734007285936,0,0.8857701168749951
6,29.4405,5.2885,1.0824021920787747,0.8275258221783205,-0.11069625533064278,-0.05751237328128048,0,0.961214279472856
7,45.9036,7.7732,1.070414746937307,0.952501607284954,-0.1772358849036025,-0.1503486763876435,0,0.9670692989791375
8,35.2354,6.2194,1.1204351775825099,0.864405616978718,-0.05427751090273994,-0.16335709675608956,0,0.8796326423492972
9,22.9085,3.9144,1.004976216788922,0.9559072876017327,-0.021508476862538484,-0.06738906434164996,0,0.8245749148668701
10,31.1659,5.5772,1.0985697170310682,0.8427485560627458,-0.07741337854342965,-0.10685006501568557,0,0.9221150894471424
