iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,36.4138,6.4736,1.0873838088403702,0.8716032167007514,-0.12276469656526744,-0.08432859066649001,13,0.917933243319702
2,23.9014,4.3609,1.106432361847393,0.8588535056346985,-0.012706993638992914,-0.09472272274984592,1,0.8678263185607518
3,25.6249,4.4494,1.0805054687471054,0.9381217215834167,-0.03252222271647649,-0.08202102084487158,13,0.8680031458873568
4,19.4461,3.6338,1.1308964789590594,0.8810687742568134,-0.03971964475351114,-0.09475658358627215,9,0.996640482594296
5,15.3244,2.7684,1.0740287295371003,0.9408617066794126,-0.0390463028923651,-0.0577582818119797,6,0.9870015463980766
6,29.3352,5.232,1.0903398324397569,0.9037946307947112,-0.0854560251457921,-0.08433877668229704,4,0.9341964460007067
7,29.9122,5.4107,1.0541871720846778,0.8645580401735892,-0.14972847062819,-0.025513423006172167,6,0.9796141356822327
8,28.3692,5.0366,1.123264194319317,0.8978488983204499,-0.050150827607505416,-0.09797151160812725,11,0.9034787836897572
9,25.8858,4.4866,1.104094012900992,0.9271531054049981,-0.01736043395825429,-0.09414194862714761,11,0.8565442959427226
10,38.7366,6.5264,1.0708303377991977,0.9683484512718876,-0.1384646898033379,-0.014223695785616025,7,0.8574117353997648
