iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,4.7484,0.7832,1.0330734967627915,0.9893184301184513,0.008554298110910283,-0.002834896916575437,0,0.9711120386560365
3,11.5293,1.8801,0.9666212367340558,1.0361343936482872,-0.034189956560586404,-0.04572822860780421,0,0.9621196039423173
4,9.9119,1.6975,1.0051532092335183,0.9946115406829789,-0.04799670596314684,-0.011371006733652898,0,1.0037676719531323
5,0.3805,0.7536,0.9596523436586863,1.0453808625939591,-0.0369960541761874,0.04508848530934799,0,1.0330029063006771
6,2.776,0.5684,0.979238983904586,1.040498595495909,-0.003962375185631008,0.022583065504747715,0,0.9699744016385685
7,7.4877,1.4087,1.013898887793247,0.9838652818766966,-0.028253684606978437,-0.040191510058654845,0,1.0261064648077343
9,10.1756,1.5147,1.0199366306599273,1.047187608486365,-0.03882360393928164,0.02684048993420632,0,0.9667178006500448
