iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,7.8448,2.5922,1.0125514405559513,0.9680450202895913,-0.0038219855552395904,0.02830946694243397,0,1.0089664851850306
2,10.4693,2.8009,1.0115152884419851,0.9862546705863787,-0.02543451337910634,0.022797528733627614,3,1.0117585224224412
3,10.477,2.5977,1.0259493611205304,0.9876317347173454,-0.0008688609284300472,0.047515957517901525,4,0.9521662807844967
4,6.9455,2.5871,0.9711734364752242,1.0227049921579272,0.01775703158111243,-0.03673158470176167,3,1.0049689383648301
5,11.3636,2.6352,0.9814441660417815,1.0441431005695552,-0.009602820324825366,-0.017970694161214384,1,0.9782530486284694
6,8.2653,2.6565,0.9825665856285069,0.9836644276972965,-0.013495871327356669,-0.008488310521398743,3,1.0308744447963722
7,12.577,2.877,0.987191035992616,1.0497910900449527,-0.046509654299114606,0.04981883855544099,5,0.9882489630629958
8,10.416,2.6455,0.9873965806375998,1.0102293491809158,-0.023248835263035728,0.04500529928055806,4,0.9752724793973517
9,4.3908,3.0242,0.9987238766701247,0.9653829691117101,0.034451498116794196,-0.001343567602235772,1,1.0033757059053932
10,4.9895,2.9258,0.9501917828554001,0.9695934257617026,0.007234566445851812,0.04748228338442213,1,0.9723498528975306
