iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,30.458,5.0912,1.0851722208197034,0.9525154194341828,-0.09018465406997792,-0.045474529739677874,0,0.9056116212097108
2,26.3376,4.422,1.0583238614844215,0.9862216858319443,-0.09285510629471821,-0.07233241547598294,0,0.9708755166772075
3,10.9446,2.0376,1.003667825247077,0.9571282020040002,-0.005424955697078709,-0.08833085676829491,0,0.964035823839714
4,18.175,3.1804,1.052124651818606,0.9047342213237607,-0.0393231424083087,-0.012713633540423,0,0.9034641302161582
5,11.1081,2.2177,1.0252236553245229,0.9033453343578354,-0.002700271876343016,-0.09415781309794703,0,0.97009372616765
6,11.7503,2.0904,1.008135553285454,0.9778894171856396,-0.022399500823298238,-0.08107524503452998,0,0.9877666650972048
7,11.346,2.0997,1.0168758052490359,0.9282143973112281,-0.04174889401721008,-0.020394023854861013,0,0.9787850367785464
8,22.0906,3.6739,1.0875772075092882,0.985371760972022,-0.03721345433568135,-0.09685334733791943,0,0.9510524548725765
9,24.5139,4.3213,1.052745631694003,0.9022661133868403,-0.05829079024935201,-0.06281000096489234,0,0.9039442073341624
10,22.6384,3.879,1.07099056415475,0.9451966205018147,-0.0514641203507801,-0.07369778892404759,0,0.9388280932851929
