iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,6.0113,1.0495,1.0306389645627227,0.9532547925390459,-0.005685024074297468,-0.007867920032461541,0,0.9731978703257587
2,5.9444,1.0936,1.0048506377559776,0.9658754990691948,-0.018493762924968953,-0.01495648303914817,0,0.9904053920853328
3,12.9229,2.2305,1.0377009823718988,0.9596875809104743,-0.024261725525331537,-0.046441173503550925,0,0.9632889868235692
4,9.2386,1.5744,1.0116928875634388,0.9887192563836793,-0.013539419089348602,-0.04757108204008773,0,0.9750655708369085
5,8.1441,1.2334,1.0445466685969935,0.9958576872681666,-0.0026192848018663367,-0.006237429973493733,0,0.9544182777919695
6,9.7113,1.743,1.0036347174770555,0.9578621844770453,-0.03614361532751603,-0.014864344496090844,0,0.9770359483233345
7,12.4999,2.0042,1.046723217208391,0.9884924642500119,-0.03502899155173264,-0.013494082168740512,0,0.9710134687329748
8,6.6724,1.1894,1.0136694015849268,0.9613215595012571,-0.013100262946273387,-0.010994281463876952,0,0.9721020898872567
9,10.9102,1.9368,1.0098508551008654,0.9511371624689282,-0.044072127962791495,-0.008732946930722227,0,0.9757065010659396
10,8.204,1.2598,1.0364860740823911,0.9992682937101433,-0.0009115768167289595,-0.014044572284699207,0,0.9532015114440073
