iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
3,14.0502,3.0209,1.0920053763070336,0.9724996004875699,-0.02140186988784347,-0.07639079387112885,0,1.0654389584682835
4,4.9984,2.5792,1.01362319585554,1.0535926129033173,0.020777465597406564,0.024071490611678903,0,1.0101430644390743
5,12.0668,2.8833,0.910272230366348,0.9631168663735721,-0.09343630821486584,0.08885946572462489,0,0.9666884586665427
6,5.8061,2.4823,1.0307448487014328,0.9771890995630267,0.05491439480822405,0.04430013035297928,0,0.9012392489483161
7,12.9126,3.2816,0.9329060915220877,0.9037303699144408,-0.09505697178660069,0.03173073966269152,0,1.0227758862654686
8,14.7307,3.2856,0.948158976938126,0.9796834400298493,-0.07941530709289901,-0.05128615176173801,0,1.055126426789444
10,9.306,2.3465,1.0383221408818224,1.080851517626986,0.04339306457736131,-0.07953760234277273,0,0.9807357285136344
