iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,17.8303,3.2949,1.0653554524183861,0.9110990937654383,-0.0293768750289434,-0.08173142588853598,15,0.9501160074712262
2,25.2658,4.2748,1.1401949367675723,0.9288927971092528,-0.03422944086641734,-0.03660085666623114,2,0.8755814404340454
3,30.3248,5.3542,1.063195185750381,0.9337215832234216,-0.07764608865514486,-0.09964540436923358,15,0.9050219793006786
4,34.3761,5.7594,1.1348483799632736,0.9659525218249897,-0.13070539199413733,-0.01901486420499371,9,0.9338411659182757
5,10.4002,2.098,1.0400453950636346,0.9063780498945305,-0.02617410258666092,-0.04754644232369881,5,0.9930867745506207
6,33.6946,5.7159,1.0863096849577496,0.9821277073646608,-0.10979552133836054,-0.06883270432251824,11,0.9183915701875267
7,36.5087,6.4631,1.061007286002257,0.9070793797253022,-0.08747154513776646,-0.11464479108586868,7,0.8553588694378222
8,21.0135,3.6669,1.110003115569549,0.9485146091948917,-0.04717852476320594,-0.07699024893790642,2,0.9694969129959315
9,37.4726,6.473,1.1499655054389526,0.9355825895922895,-0.1046411746428029,-0.1256239033468067,14,0.9413269252734079
10,22.2054,3.6817,1.0545587284666689,0.9974375985332569,-0.04381591683203541,-0.031592249716394946,8,0.8834216689603968
