iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,12.2401,2.0787,0.8762225138725347,1.1004759967127293,-0.04310115082025308,0.011926421559810718,0,0.8680300261663499
3,7.1375,2.1495,1.0610870268372612,1.0678133173780056,-0.0765241101830936,0.14345723494946608,0,1.0567394247282031
4,41.8154,6.7876,1.1492421491736342,1.0894936713683272,-0.1395414717700901,-0.028677867848694222,0,0.8778254151831527
5,14.825,3.129,1.0820721347557412,0.8820241154372294,-0.08663602916565795,0.04347219017093493,0,1.0289520171251718
6,32.0194,5.4628,1.092708401894435,0.9431225857169101,-0.14248992685637246,0.010982838536397393,0,0.9374891619057419
7,19.8908,3.3533,1.1021256052893456,0.992800513694324,-0.021287426143981658,-0.06949936205769915,0,0.9352488663924144
9,13.4662,2.298,1.137266785708,1.0778444020260878,-0.0066461853163503615,-0.08782670177316564,0,1.0488170505187302
