iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,7.5509,2.1141,1.0247309753593508,1.0430917430137265,0.008178491107549778,-0.04053006384123573,0,1.046677188527164
2,4.786,2.4023,0.9818115727020352,1.0049368249890775,0.00958080073356702,0.0298834554570077,0,0.9963218687976199
3,11.0374,2.4972,1.0372190092647988,1.0467695779655979,-0.03796237977623393,0.02603733291805016,0,1.0437665976345327
4,5.1167,2.2956,0.9854399802304905,0.9827124427788546,0.017998097939833785,0.019989721064621935,0,0.9727114520808281
5,2.901,2.6139,0.9582386772185215,0.9676251539601751,0.019239148311594928,0.010911475943761725,0,0.9991278136445242
6,9.8608,2.2468,0.9639590675305243,1.0333731332508151,-0.022935044217346923,0.01593126979752163,0,0.9729191269666615
7,10.2119,2.2485,1.0213206792625344,1.0418649262801307,0.0015214541745608573,-0.02041554240862069,0,0.9922284588482977
8,5.5437,2.2715,1.0258185019900405,0.9848760670067315,0.014264444147760832,0.01441697373997064,0,1.0145894542202822
9,14.2132,2.7725,0.979237071762121,1.0269301092123702,-0.04978722381818238,0.033458750838292015,0,0.9550272901486561
10,3.2568,2.7454,1.0475170365233233,0.9865596548369862,0.03236238500934534,0.023684754250410472,0,1.0325993055234792
