iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,12.5464,2.2608,1.0061315196651348,0.9583356165438273,-0.04749030180849592,-0.012410008529248208,2,0.9595900027331851
2,12.6915,2.2788,1.040691249427032,0.9658172454001415,-0.035735501106321656,-0.04977086624027125,4,0.9894852091539305
3,10.3845,1.7824,1.0413860835149629,0.9813020601485118,-0.02652402938718089,-0.028245844897038033,3,0.9835015976659909
4,9.8235,1.8029,1.0075066059608602,0.9691403164629206,-0.028659658771926895,-0.040091924829772176,5,0.9833474348746232
5,13.5462,2.4164,1.0001261731675306,0.9885544007017418,-0.043036654015646714,-0.04617095257827205,1,0.9679909196439518
6,11.4999,2.1157,1.0026453940447184,0.962079983764684,-0.046944332649945394,-0.01954716299092071,4,0.9758438923128443
7,5.6513,0.9084,1.0297567885684475,0.9971577561473498,-0.008980036021118278,-0.012452637187815634,4,0.990031704218147
8,14.028,2.3469,1.0340598823858973,0.9969073113085055,-0.03873065829329195,-0.027385673330428337,5,0.9583881804819613
9,6.2191,1.1156,1.0094023176960545,0.9749077103948268,-0.007452366115663751,-0.02818377429195125,1,0.9785586863918346
10,11.5213,2.0504,1.0326789397992449,0.9689967606153196,-0.03391987992356299,-0.036441337865726224,0,0.9839768369966365
