iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,21.1812,3.5745,1.022073456013373,0.9731275091476621,-0.0550889630476895,-0.04818842910413809,0,0.9144237326975924
2,19.2268,3.2524,1.0707324661695847,0.9611574574475862,-0.06529898682489574,-0.038564059846449256,0,0.9796574984737306
3,11.7126,2.2145,1.0329263733198397,0.9000695879596902,-0.012877611095711353,-0.04075232481007235,0,0.9405779326353813
4,23.5414,4.0156,1.0414919828495337,0.9791239941484395,-0.09117751668894282,-0.06979703941425072,0,0.9890358535261295
5,25.6113,4.3256,1.0313476879882677,0.9649816462830407,-0.0860961959635381,-0.03898167430434784,0,0.9180384415186781
6,24.3387,4.1527,1.0353911994398175,0.9586219391345553,-0.0964971742416775,-0.03726921220815588,0,0.9552179342648752
7,20.2314,3.5505,1.0280509978313503,0.9436645857439421,-0.07501975494808845,-0.0495854847157558,0,0.9684272971314922
8,11.2367,1.9602,1.0316194516862642,0.9431212794846623,-0.035952194260131284,-0.005151636639063054,0,0.9663804560134468
9,21.2827,3.4597,1.0890703360331835,0.9857651435641657,-0.08926057338004294,-0.004207713903593688,0,0.9842423310011459
10,18.4276,3.3439,1.049780411114061,0.9091703678496829,-0.06695157742004479,-0.05412646841763043,0,0.990037242562933
