iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,0.5441,1.7112,0.9523174950217973,1.0308619240531924,0.0015614292826765103,0.000338079826297466,0,1.0291394360863335
4,11.6202,2.2625,1.0041256515940356,0.9645688434649011,-0.03178582116799814,-0.01109094273860485,1,0.9607289200594509
5,0.0464,1.8939,1.0072984770314182,0.9692464354356406,0.03432089527140586,0.04845748261791638,5,0.9661736336066955
6,12.3481,2.1463,1.0435290918130038,1.0165453123431927,-0.023991589638895496,0.007364279873044707,3,0.9536474852488511
7,1.6649,1.5336,1.0147785088942183,1.0048592987916727,0.030051752725457695,-0.033470193167448294,4,1.0259728690890209
8,1.4296,1.7344,0.9809731204299004,1.0474985384590934,-0.012148960528988187,0.0282030180655594,3,1.0475972735082142
9,0.4687,1.8419,1.0377881421833546,0.9909258477441557,0.02267723860348743,0.02313778849820866,2,1.031324636203224
10,9.7601,1.806,1.0158445128379703,1.0382319476606732,-0.021627438998550463,-0.0016287145236081532,3,0.9790415353850253
