iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,8.9395,2.5406,1.0454532497728959,1.0025536415249368,0.009351039414327467,-0.025351254824174798,0,1.0336050760150421
2,7.2217,2.5637,1.0221434171729222,0.9509517480675282,0.03116197398030271,-0.022184561067592447,5,0.9866980486838663
3,2.0199,3.4882,0.9718443004075513,0.9558191618899143,0.03751923867253891,0.039054168961092095,2,0.9960763377964037
4,14.1323,3.0448,1.028516988138641,1.00606826421994,-0.03260565389747029,0.0293299107009706,3,0.9719371015210746
5,12.4739,2.7008,1.0310421711726763,1.048364087696639,0.013585719749641123,-0.029973062984190404,5,0.9548773378799864
6,12.8053,3.1285,1.022244564618027,0.9683338234341855,-0.04704144194335559,0.042342838115011924,4,1.0043117121073957
7,7.1382,2.6512,0.9737296505265701,1.0314042665157357,-0.007057799040233813,-0.013797898006142464,2,1.0458560531335703
8,4.0754,3.1108,0.9781036449033551,0.9901696082970867,0.01822264518105396,0.011256746147264754,5,1.0285303071650262
9,4.3651,3.0236,0.9702705331975701,0.9511614836924817,0.012367559302647421,0.023724637657767098,2,1.0088991031457273
10,13.7163,3.0375,1.0102747750932963,0.9830017538678426,-0.01834772212913218,-0.03512050478663416,0,0.979207484140278
