Timeout,Transitions,Energy
0.0,198,0.693480168
0.8,198,0.695537151
1.6,198,0.697675224
3.2,198,0.701956776
6.4,198,0.710522583
12.8,198,0.727648791
25.6,198,0.761898504
51.2,198,0.830403336
102.4,52,0.9482383899
103.2,48,0.9487561199
104.0,42,0.9492351569
104.8,42,0.9496892609
209.6,20,0.9794829829
210.4,20,0.9796992229
420.8,20,1.0365676399
841.6,20,1.1503098799
1683.2,18,1.3591457398
1684.0,18,1.3593403558
3368.0,18,1.7690070358
6736.0,18,2.5883376933
13472.0,18,4.2270044139
26944.0,18,7.5043432605
53888.0,18,14.0590101367
107776.0,18,27.1683384896
215552.0,0,30.1388163556
